dna_seq_sample_name,dir_dnaseq,dharma_id
138055649,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,92
138055926,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,93
138056275,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,94
138056707,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,95
NC-14B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,96
NC-01B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,97
D05-2M,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,98
NC-02B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,99
D05-2M-DM,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,100
NB-05B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,101
D05-2M-LY,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,102
NC-08B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,103
NC-10B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,104
NC-11B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,105
RO10005,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,106
NC-12B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,107
OCIAML3-16-03-B1;OCIAML3-16-03-B2;OCI-AML3-DNA-1;OCI-AML3-DNA-2,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ANN9B-ANLD7-ANMA6/fastq;/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ANN9B-ANLD7-ANMA6/fastq;/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_AKRVE-AL664-ALBPV/fastq;/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_AKRVE-AL664-ALBPV/fastq,123
MOLM14L1-16-03-B1;MOLM14L1-16-03-B2;MOLM14-L1-DNA-1,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ANN9B-ANLD7-ANMA6/fastq;/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ANN9B-ANLD7-ANMA6/fastq;/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_AKRVE-AL664-ALBPV/fastq,124
KG1a-16-03-B1;KG1a-16-03-B2;KG1a-DNA-1,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ANN9B-ANLD7-ANMA6/fastq;/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ANN9B-ANLD7-ANMA6/fastq;/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_AKRVE-AL664-ALBPV/fastq,125
138047036,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,127
138043687,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,128
138046989,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,129
138043608,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,130
138032099,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,132
